,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,Short name,lat,lon,Size,Distance to Station 2020-2021,Nearest Station 2020-2021,Modelled System Strength 2020-2021,Distance to Station 2029-2030,Nearest Station 2029-2030,Modelled System Strength 2029-2030,Distance to Station 2034-2035,Nearest Station 2034-2035,Modelled System Strength 2034-2035
154,Progressive Green Pty Ltd,Wonthaggi Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Jun,2,Y,WONWP,12,12,,Wonthaggi ,-38.6043664,145.5913433,1,48.97,JOHN LYSAGHT 220 kV,High,48.97,JOHN LYSAGHT 220 kV,High,48.97,JOHN LYSAGHT 220 kV,High
155,Woodlawn Wind Pty Ltd,Woodlawn Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,,2.1,N,WOODLWN1,48.3,48,13,Woodlawn ,-28.7663,153.3184,1,18.72,LISMORE 330 kV,Neutral,18.72,LISMORE 330 kV,Neutral,18.72,LISMORE 330 kV,Neutral
156,Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WBP 1-37,1.75,Y,WOOLNTH1,140,140,,Woolnorth Studland Bay / Bluff Point ,-40.6782,144.6935,1,41.41,SMITHTON 110 kV,Very poor,41.41,SMITHTON 110 kV,Very poor,41.41,SMITHTON 110 kV,Very poor
157,Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WSB 1-25,3,Y,WOOLNTH1,-,-,-,Woolnorth Studland Bay / Bluff Point ,-40.6782,144.6935,1,41.41,SMITHTON 110 kV,Very poor,41.41,SMITHTON 110 kV,Very poor,41.41,SMITHTON 110 kV,Very poor
158,Pacific Hydro Yaloak South Pty Ltd,Yaloak South Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,2.05,Y,YSWF1,28.7,28,172,Yaloak South ,-37.8497453,143.5874355,1,20.9,BERRYBANK 220 kV,Very poor,20.9,BERRYBANK 220 kV,Very poor,20.9,BERRYBANK 220 kV,Very poor
159,Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,1.5,N,YAMBUKWF,30,30,,Yambuk ,-38.3171989,142.0657,1,18.36,TARRONE 500 kV,Very poor,18.36,TARRONE 500 kV,Very poor,18.36,TARRONE 500 kV,Very poor
160,Yarranlea Solar Pty Ltd ,Yarranlea Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-44,2.34,Y,YARANSF1,121,103,20,Yarranlea ,-27.723365,151.5510408,1,38.26,MILLMERRAN 330 kV,High,38.26,MILLMERRAN 330 kV,Very poor,38.26,MILLMERRAN 330 kV,Neutral
161,Yatpool Sun Farm Pty Ltd,Yatpool Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-36,2.25,Y,       YATSF1,94,81,16,Yatpool ,-34.38046825,142.1883733,1,6.78,CARWARP 220 kV,Very poor,6.78,CARWARP 220 kV,Very poor,6.78,CARWARP 220 kV,Very poor
162,Alinta Energy Retail Sales Pty Ltd,Yawong Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,3.6,Y,YAWWF1,7.2,7.2,0,Yawong ,-36.469043,143.3869903,1,72.56,BULGANA 220 kV,Very poor,72.56,BULGANA 220 kV,Very poor,72.56,BULGANA 220 kV,Very poor
163,Lal Lal Wind Farms Nom Co Pty Ltd,Yendon Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-38,3.763,Y,YENDWF1,144.4,142,28,Yendon ,-37.6376283,143.97273,1,10.82,ELAINE 220 kV,Very poor,10.82,ELAINE 220 kV,Very poor,10.82,ELAINE 220 kV,Very poor
